group_id,sha256,number_of_images,subject_id,class_id,class_name,filenames,validation_status
DUP_GRP_001,1edc46130ab6392ec51e1f81eb4121c2f4005ce3cfc1c9b59d3b4009e606e42f,2,S01,0,engaged,S01_engaged_0010.jpg; S01_engaged_0011.jpg,safe_to_deduplicate
DUP_GRP_002,23af90972186e096f1eb240b65b4a2a9f08179dd9a6eab0f758ce0575e23ae63,2,S01,0,engaged,S01_engaged_0012.jpg; S01_engaged_0013.jpg,safe_to_deduplicate
DUP_GRP_003,0b215a0a7a705fe969ebf101dc3aef67fbd814702ee6fa40c7fbaa33e8cfd530,2,S01,0,engaged,S01_engaged_0016.jpg; S01_engaged_0017.jpg,safe_to_deduplicate
DUP_GRP_004,8f3213f32e228767600aeb6b5d785f0e660f7edfd413579beccd091f85394402,2,S01,0,engaged,S01_engaged_0018.jpg; S01_engaged_0019.jpg,safe_to_deduplicate
DUP_GRP_005,9dd04680bdce856e5f31c0c9df039583fce16a04f9655f7c3f842d254ae76bf9,2,S01,0,engaged,S01_engaged_0023.jpg; S01_engaged_0024.jpg,safe_to_deduplicate
DUP_GRP_006,bf3bba1f34363b43f9435ea330b3f87f8f7fb2688d74c4e15bef08acca897c91,2,S01,0,engaged,S01_engaged_0046.jpg; S01_engaged_0047.jpg,safe_to_deduplicate
DUP_GRP_007,2420952cc7441d614c76d7ce4be8d845ebc21171111c6491432e079e493c1cd1,2,S01,0,engaged,S01_engaged_0049.jpg; S01_engaged_0050.jpg,safe_to_deduplicate
DUP_GRP_008,bbd20bc4272842938c00e6ca1f781f69b354bbe258673f84b4fcab899f27e3c1,2,S01,0,engaged,S01_engaged_0052.jpg; S01_engaged_0053.jpg,safe_to_deduplicate
DUP_GRP_009,2c399bf11721f17fb79ddeae53ee5e6b1ecfc9c01a40a8b99e8d394103f62480,2,S01,0,engaged,S01_engaged_0056.jpg; S01_engaged_0057.jpg,safe_to_deduplicate
DUP_GRP_010,fba4082eeb894c47300f60963bcbeb2d083ba2640cf7ce811aa7ac22edae271c,2,S01,0,engaged,S01_engaged_0062.jpg; S01_engaged_0063.jpg,safe_to_deduplicate
DUP_GRP_011,f064b4b39f89b6f1e39326c59a750cee10775ca7026187508faf4e1f8905fc80,2,S01,0,engaged,S01_engaged_0069.jpg; S01_engaged_0070.jpg,safe_to_deduplicate
DUP_GRP_012,7d0ffcc998b224adec024d594732b9471ca6398a23552903234d9dbf6e63cada,2,S01,0,engaged,S01_engaged_0076.jpg; S01_engaged_0077.jpg,safe_to_deduplicate
DUP_GRP_013,1a16dc3303e2c42b3f350e6b95c5538e7a78a5b454ade1ddb33389dfcad94810,2,S01,0,engaged,S01_engaged_0081.jpg; S01_engaged_0082.jpg,safe_to_deduplicate
DUP_GRP_014,9132caf34769d276147be32f14196437def0dde83cea1656f9ddeeadabd81593,2,S01,0,engaged,S01_engaged_0083.jpg; S01_engaged_0084.jpg,safe_to_deduplicate
DUP_GRP_015,8b02601b3fa578f75f3334c38c9b2f70220686c3157e910ecfb38ca116996060,2,S01,0,engaged,S01_engaged_0090.jpg; S01_engaged_0091.jpg,safe_to_deduplicate
DUP_GRP_016,0bf0e4bae0c4b99bc07a6fc68ad91f9a9af2b0736769336a66c14da0616f19c5,2,S01,0,engaged,S01_engaged_0092.jpg; S01_engaged_0093.jpg,safe_to_deduplicate
DUP_GRP_017,44898b604f103e436b65b11a9bebe285ac19d26f3d431e37db9349cb34883a9c,2,S01,0,engaged,S01_engaged_0099.jpg; S01_engaged_0100.jpg,safe_to_deduplicate
DUP_GRP_018,cd63c82ff2ea7d8ab44afa00760700c064fce0080bf883da9397bb20fd1f79a0,2,S01,0,engaged,S01_engaged_0103.jpg; S01_engaged_0104.jpg,safe_to_deduplicate
DUP_GRP_019,296883ed824073481b2d757b5d91e1718c84d011d5d12d1a694d5af81565e354,2,S01,0,engaged,S01_engaged_0108.jpg; S01_engaged_0109.jpg,safe_to_deduplicate
DUP_GRP_020,065992ea5e86d913485a96f2745c5d91f76f22f93e8dd4aba6daa9aa5cc1846c,2,S01,0,engaged,S01_engaged_0115.jpg; S01_engaged_0116.jpg,safe_to_deduplicate
DUP_GRP_021,312b8bf86f73d119777a2dc89b847130775bf43719c5c29bc584d2263c5bf41b,2,S01,0,engaged,S01_engaged_0121.jpg; S01_engaged_0122.jpg,safe_to_deduplicate
DUP_GRP_022,e54b71d1c8630c8af48b5d4a01f7c55ffc5c342d53d28f646f0173e98910b7af,2,S01,0,engaged,S01_engaged_0124.jpg; S01_engaged_0125.jpg,safe_to_deduplicate
DUP_GRP_023,4377ef1353ecde6c6372eb23b908c91373a0f90269039f7ede58fed7b4bab69a,2,S01,0,engaged,S01_engaged_0128.jpg; S01_engaged_0129.jpg,safe_to_deduplicate
