duplicate_group_id,sha256,subject_id,new_filename,original_filename,original_subset,class_name,duplicate_count_in_group
DUP_001,1edc46130ab6392ec51e1f81eb4121c2f4005ce3cfc1c9b59d3b4009e606e42f,S01,S01_engaged_0010.jpg,engaged_1376.jpg,val,engaged,2
DUP_001,1edc46130ab6392ec51e1f81eb4121c2f4005ce3cfc1c9b59d3b4009e606e42f,S01,S01_engaged_0011.jpg,engaged_1377.jpg,train,engaged,2
DUP_002,23af90972186e096f1eb240b65b4a2a9f08179dd9a6eab0f758ce0575e23ae63,S01,S01_engaged_0012.jpg,engaged_1378.jpg,test,engaged,2
DUP_002,23af90972186e096f1eb240b65b4a2a9f08179dd9a6eab0f758ce0575e23ae63,S01,S01_engaged_0013.jpg,engaged_1379.jpg,train,engaged,2
DUP_003,0b215a0a7a705fe969ebf101dc3aef67fbd814702ee6fa40c7fbaa33e8cfd530,S01,S01_engaged_0016.jpg,engaged_1388.jpg,train,engaged,2
DUP_003,0b215a0a7a705fe969ebf101dc3aef67fbd814702ee6fa40c7fbaa33e8cfd530,S01,S01_engaged_0017.jpg,engaged_1389.jpg,train,engaged,2
DUP_004,8f3213f32e228767600aeb6b5d785f0e660f7edfd413579beccd091f85394402,S01,S01_engaged_0018.jpg,engaged_1390.jpg,train,engaged,2
DUP_004,8f3213f32e228767600aeb6b5d785f0e660f7edfd413579beccd091f85394402,S01,S01_engaged_0019.jpg,engaged_1391.jpg,train,engaged,2
DUP_005,9dd04680bdce856e5f31c0c9df039583fce16a04f9655f7c3f842d254ae76bf9,S01,S01_engaged_0023.jpg,engaged_1405.jpg,val,engaged,2
DUP_005,9dd04680bdce856e5f31c0c9df039583fce16a04f9655f7c3f842d254ae76bf9,S01,S01_engaged_0024.jpg,engaged_1406.jpg,train,engaged,2
DUP_006,bf3bba1f34363b43f9435ea330b3f87f8f7fb2688d74c4e15bef08acca897c91,S01,S01_engaged_0046.jpg,engaged_1803.jpg,train,engaged,2
DUP_006,bf3bba1f34363b43f9435ea330b3f87f8f7fb2688d74c4e15bef08acca897c91,S01,S01_engaged_0047.jpg,engaged_1804.jpg,train,engaged,2
DUP_007,2420952cc7441d614c76d7ce4be8d845ebc21171111c6491432e079e493c1cd1,S01,S01_engaged_0049.jpg,engaged_1806.jpg,test,engaged,2
DUP_007,2420952cc7441d614c76d7ce4be8d845ebc21171111c6491432e079e493c1cd1,S01,S01_engaged_0050.jpg,engaged_1807.jpg,train,engaged,2
DUP_008,bbd20bc4272842938c00e6ca1f781f69b354bbe258673f84b4fcab899f27e3c1,S01,S01_engaged_0052.jpg,engaged_1809.jpg,train,engaged,2
DUP_008,bbd20bc4272842938c00e6ca1f781f69b354bbe258673f84b4fcab899f27e3c1,S01,S01_engaged_0053.jpg,engaged_1810.jpg,train,engaged,2
DUP_009,2c399bf11721f17fb79ddeae53ee5e6b1ecfc9c01a40a8b99e8d394103f62480,S01,S01_engaged_0056.jpg,engaged_1852.jpg,train,engaged,2
