file_a,split_a,class_a,file_b,split_b,class_b,dhash_distance,phash_distance
bigdata_bored_engaged_aksan_50_1773299656187_000_jpg.rf.76deb964c8d4ce0fbc2572aa7a0c922c.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299656187_003_jpg.rf.92207d86703dfebc8703f74c5907553d.jpg,test,bored,0,0
bigdata_bored_engaged_aksan_50_1773299656187_000_jpg.rf.76deb964c8d4ce0fbc2572aa7a0c922c.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_015_jpg.rf.624296902ef02a4f999acc966c303d98.jpg,test,bored,3,2
bigdata_bored_engaged_aksan_50_1773299656187_000_jpg.rf.76deb964c8d4ce0fbc2572aa7a0c922c.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_017_jpg.rf.6749973df3d7d41f4fdfa23cb462df9b.jpg,test,bored,2,2
bigdata_bored_engaged_aksan_50_1773299656187_000_jpg.rf.76deb964c8d4ce0fbc2572aa7a0c922c.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_021_jpg.rf.cc123dd299fe6df4290aa92518c12178.jpg,test,bored,3,2
bigdata_bored_engaged_aksan_50_1773299656187_000_jpg.rf.76deb964c8d4ce0fbc2572aa7a0c922c.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_022_jpg.rf.d74a001f244a6d7adc6f8cadc2ae3268.jpg,test,bored,5,2
bigdata_bored_engaged_aksan_50_1773299656187_001_jpg.rf.1a92d3626a58e7c958d6ceb74af9a9c8.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299656187_003_jpg.rf.92207d86703dfebc8703f74c5907553d.jpg,test,bored,0,0
bigdata_bored_engaged_aksan_50_1773299656187_001_jpg.rf.1a92d3626a58e7c958d6ceb74af9a9c8.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_015_jpg.rf.624296902ef02a4f999acc966c303d98.jpg,test,bored,3,2
bigdata_bored_engaged_aksan_50_1773299656187_001_jpg.rf.1a92d3626a58e7c958d6ceb74af9a9c8.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_017_jpg.rf.6749973df3d7d41f4fdfa23cb462df9b.jpg,test,bored,2,2
bigdata_bored_engaged_aksan_50_1773299656187_001_jpg.rf.1a92d3626a58e7c958d6ceb74af9a9c8.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_021_jpg.rf.cc123dd299fe6df4290aa92518c12178.jpg,test,bored,3,2
bigdata_bored_engaged_aksan_50_1773299656187_001_jpg.rf.1a92d3626a58e7c958d6ceb74af9a9c8.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_022_jpg.rf.d74a001f244a6d7adc6f8cadc2ae3268.jpg,test,bored,5,2
bigdata_bored_engaged_aksan_50_1773299656187_002_jpg.rf.41a8999ef946b19b9a7fc651def15057.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299656187_003_jpg.rf.92207d86703dfebc8703f74c5907553d.jpg,test,bored,0,0
bigdata_bored_engaged_aksan_50_1773299656187_002_jpg.rf.41a8999ef946b19b9a7fc651def15057.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_015_jpg.rf.624296902ef02a4f999acc966c303d98.jpg,test,bored,3,2
bigdata_bored_engaged_aksan_50_1773299656187_002_jpg.rf.41a8999ef946b19b9a7fc651def15057.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_017_jpg.rf.6749973df3d7d41f4fdfa23cb462df9b.jpg,test,bored,2,2
bigdata_bored_engaged_aksan_50_1773299656187_002_jpg.rf.41a8999ef946b19b9a7fc651def15057.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_021_jpg.rf.cc123dd299fe6df4290aa92518c12178.jpg,test,bored,3,2
