segment_id,label,start_frame,end_frame,frame_count,start_time,end_time,duration_sec
1,engaged,1,242,242,0.0333,8.0667,8.0667
2,confused,243,246,4,8.1,8.2,0.1333
3,engaged,247,276,30,8.2333,9.2,1.0
4,bored,277,287,11,9.2333,9.5667,0.3667
5,engaged,288,357,70,9.6,11.9,2.3333
6,bored,358,358,1,11.9333,11.9333,0.0333
7,engaged,359,459,101,11.9667,15.3,3.3667
8,confused,460,461,2,15.3333,15.3667,0.0667
9,engaged,462,545,84,15.4,18.1667,2.8
10,bored,546,551,6,18.2,18.3667,0.2
11,engaged,552,727,176,18.4,24.2333,5.8667
12,confused,728,729,2,24.2667,24.3,0.0667
13,engaged,730,804,75,24.3333,26.8,2.5
14,frustrated,805,806,2,26.8333,26.8667,0.0667
15,engaged,807,807,1,26.9,26.9,0.0333
16,frustrated,808,809,2,26.9333,26.9667,0.0667
17,engaged,810,823,14,27.0,27.4333,0.4667
18,bored,824,827,4,27.4667,27.5667,0.1333
19,engaged,828,936,109,27.6,31.2,3.6333
20,bored,937,937,1,31.2333,31.2333,0.0333
21,engaged,938,951,14,31.2667,31.7,0.4667
22,bored,952,956,5,31.7333,31.8667,0.1667
23,engaged,957,966,10,31.9,32.2,0.3333
24,bored,967,967,1,32.2333,32.2333,0.0333
25,engaged,968,971,4,32.2667,32.3667,0.1333
26,frustrated,972,972,1,32.4,32.4,0.0333
27,bored,973,973,1,32.4333,32.4333,0.0333
28,engaged,974,983,10,32.4667,32.7667,0.3333
29,confused,984,988,5,32.8,32.9333,0.1667
30,engaged,989,989,1,32.9667,32.9667,0.0333
31,confused,990,999,10,33.0,33.3,0.3333
32,engaged,1000,1055,56,33.3333,35.1667,1.8667
33,confused,1056,1056,1,35.2,35.2,0.0333
34,engaged,1057,1092,36,35.2333,36.4,1.2
35,bored,1093,1094,2,36.4333,36.4667,0.0667
36,engaged,1095,1192,98,36.5,39.7333,3.2667
37,bored,1193,1194,2,39.7667,39.8,0.0667
38,engaged,1195,1205,11,39.8333,40.1667,0.3667
39,frustrated,1206,1208,3,40.2,40.2667,0.1
40,engaged,1209,1310,102,40.3,43.6667,3.4
41,confused,1311,1317,7,43.7,43.9,0.2333
42,engaged,1318,1319,2,43.9333,43.9667,0.0667
43,confused,1320,1320,1,44.0,44.0,0.0333
44,engaged,1321,1345,25,44.0333,44.8333,0.8333
45,frustrated,1346,1349,4,44.8667,44.9667,0.1333
46,engaged,1350,1350,1,45.0,45.0,0.0333
