segment_id,label,start_frame,end_frame,frame_count,start_time,end_time,duration_sec
1,neutral,1,7,7,0.0,1.991,2.0202
2,frustrated,8,75,68,2.0225,4.2289,2.2356
3,engaged,76,271,196,4.2638,10.7618,6.5272
4,frustrated,272,292,21,10.7893,11.4644,0.7043
5,engaged,293,296,4,11.4926,11.5999,0.1365
6,frustrated,297,343,47,11.6251,13.1583,1.5624
7,engaged,344,365,22,13.1869,13.8949,0.7372
8,frustrated,366,390,25,13.9196,14.7359,0.8455
9,engaged,391,487,97,14.7633,17.9701,3.236
10,neutral,488,491,4,18.0003,18.0907,0.1196
11,bored,492,510,19,18.1363,18.725,0.6179
12,engaged,511,565,55,18.7556,20.5644,1.838
13,bored,566,577,12,20.5921,20.9634,0.4005
14,engaged,578,958,381,20.9905,33.6574,12.6961
15,frustrated,959,1117,159,33.6848,38.9671,5.3115
16,bored,1118,1699,582,38.9974,58.367,19.3988
17,frustrated,1700,1714,15,58.3932,58.8715,0.5075
18,engaged,1715,1749,35,58.8996,60.021,1.1506
19,confused,1750,1771,22,60.0478,60.7618,0.7432
20,engaged,1772,1785,14,60.7886,61.2207,0.4613
21,confused,1786,1826,41,61.2505,62.5993,1.378
22,engaged,1827,1856,30,62.6269,63.6047,1.007
23,confused,1857,1876,20,63.63,64.2576,0.6568
24,neutral,1877,1882,6,64.308,64.4535,0.1747
25,confused,1883,1891,9,64.5019,64.758,0.2853
26,neutral,1892,1892,1,64.7848,64.7848,0.0292
27,confused,1893,1893,1,64.811,64.811,0.0292
28,neutral,1894,1895,2,64.8525,64.8999,0.0766
29,engaged,1896,1989,94,64.9257,68.0229,3.1264
30,neutral,1990,1993,4,68.0546,68.1623,0.1369
31,bored,1994,2049,56,68.1909,70.0198,1.8581
32,engaged,2050,2060,11,70.0458,70.3831,0.3665
33,bored,2061,2069,9,70.4198,70.7056,0.315
34,engaged,2070,2081,12,70.7321,71.1015,0.3986
35,frustrated,2082,2103,22,71.1286,71.8209,0.7215
36,bored,2104,2139,36,71.8608,73.0259,1.1943
37,frustrated,2140,2140,1,73.0613,73.0613,0.0292
38,bored,2141,2734,594,73.0886,92.8542,19.7948
39,frustrated,2735,2748,14,92.9195,93.3289,0.4386
40,bored,2749,2802,54,93.3655,95.1234,1.7871
41,frustrated,2803,2812,10,95.1497,95.4484,0.3279
42,bored,2813,2837,25,95.4951,96.2935,0.8276
43,frustrated,2838,2840,3,96.3198,96.3881,0.0975
44,bored,2841,2841,1,96.4157,96.4157,0.0292
45,frustrated,2842,2877,36,96.444,97.6255,1.2107
46,bored,2878,4127,1250,97.6535,139.2967,41.6724
47,neutral,4128,4158,31,139.3309,140.3309,1.0292
48,bored,4159,4160,2,140.3599,140.3878,0.0571
49,neutral,4161,4161,1,140.4199,140.4199,0.0292
50,bored,4162,4183,22,140.4655,141.1712,0.7349
51,frustrated,4184,4213,30,141.1998,142.1641,0.9935
52,bored,4214,4589,376,142.191,154.6933,12.5315
53,frustrated,4590,4596,7,154.7224,154.9274,0.2342
54,bored,4597,4664,68,154.955,157.1904,2.2646
55,neutral,4665,4665,1,157.2197,157.2197,0.0292
56,frustrated,4666,4717,52,157.2469,158.9695,1.7518
57,engaged,4718,4721,4,158.9968,159.0857,0.1181
58,frustrated,4722,4725,4,159.1234,159.2199,0.1257
59,engaged,4726,4748,23,159.2679,159.9819,0.7432
