epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8101,1.0504,3.16501,1.45061,0.28561,0.60732,0.29474,0.22181,0.17973,1.25762,2.99196,1.71317,0.000329268,0.000329268,0.000329268
2,63.5076,0.82581,2.11797,1.19921,0.2821,0.74644,0.41876,0.31664,0.26847,1.21504,2.35633,1.68868,0.000658228,0.000658228,0.000658228
3,91.743,0.80444,1.84618,1.1743,0.33389,0.82744,0.46193,0.29819,0.29327,1.21419,1.92034,1.63606,0.000982789,0.000982789,0.000982789
4,119.766,0.7604,1.60727,1.14387,0.26029,0.73677,0.37114,0.28166,0.29026,0.97278,2.26241,1.56905,0.0009802,0.0009802,0.0009802
5,147.217,0.7391,1.44078,1.12402,0.31784,0.73255,0.42745,0.36933,0.31638,1.03168,1.89115,1.38452,0.0009736,0.0009736,0.0009736
6,174.587,0.70997,1.31581,1.11776,0.39201,0.64939,0.45839,0.14766,0.23517,1.25422,1.9974,1.78564,0.000967,0.000967,0.000967
7,201.671,0.70102,1.1916,1.10113,0.4055,0.79987,0.61389,0.41241,0.43079,1.05687,1.59599,1.57628,0.0009604,0.0009604,0.0009604
8,228.74,0.64728,1.07399,1.07016,0.57054,0.6263,0.64501,0.51467,0.51601,0.88545,1.48035,1.41752,0.0009538,0.0009538,0.0009538
9,255.931,0.65714,1.00033,1.07521,0.60424,0.65579,0.64589,0.57501,0.54225,0.73144,1.29578,1.17811,0.0009472,0.0009472,0.0009472
10,282.962,0.65394,0.95866,1.06286,0.36891,0.62322,0.49804,0.43521,0.37955,0.92005,2.51444,1.33882,0.0009406,0.0009406,0.0009406
11,310.043,0.64803,0.92941,1.07051,0.46293,0.73945,0.66386,0.57555,0.50899,1.08494,1.51532,1.56718,0.000934,0.000934,0.000934
12,337.551,0.64765,0.88113,1.06057,0.31754,0.62132,0.50879,0.30745,0.31647,1.17574,2.46853,1.70234,0.0009274,0.0009274,0.0009274
13,364.924,0.61678,0.81752,1.04233,0.48465,0.75416,0.62349,0.50478,0.49387,0.88981,1.36552,1.40498,0.0009208,0.0009208,0.0009208
14,392.095,0.62571,0.81009,1.05073,0.59543,0.65697,0.60466,0.48711,0.47406,1.06186,1.59811,1.57763,0.0009142,0.0009142,0.0009142
15,419.244,0.61151,0.79737,1.04704,0.64824,0.4764,0.56498,0.51688,0.47463,0.79824,1.69439,1.25264,0.0009076,0.0009076,0.0009076
16,446.726,0.59868,0.7475,1.03724,0.45615,0.65397,0.59518,0.47729,0.46003,0.93699,1.7079,1.42522,0.000901,0.000901,0.000901
17,474.15,0.58234,0.73564,1.02757,0.58018,0.63608,0.62465,0.45919,0.4626,1.07848,1.64163,1.60895,0.0008944,0.0008944,0.0008944
18,502.197,0.56876,0.72963,1.01738,0.58441,0.52888,0.62828,0.5379,0.4965,0.96657,1.52929,1.40246,0.0008878,0.0008878,0.0008878
19,528.859,0.57511,0.66856,1.01435,0.38667,0.82235,0.60225,0.50506,0.46444,0.96082,1.32726,1.39171,0.0008812,0.0008812,0.0008812
20,555.85,0.57201,0.69517,1.02322,0.61918,0.61866,0.67818,0.55191,0.48209,1.17033,1.5676,1.66106,0.0008746,0.0008746,0.0008746
21,583.131,0.57359,0.691,1.01704,0.49817,0.61053,0.5267,0.45495,0.42397,0.91385,1.62839,1.36552,0.000868,0.000868,0.000868
22,611.198,0.55188,0.65233,1.00555,0.46139,0.50939,0.53124,0.3954,0.39365,1.00541,1.6175,1.52314,0.0008614,0.0008614,0.0008614
23,639.033,0.53601,0.64003,1.00844,0.48232,0.68571,0.59918,0.464,0.44716,0.85263,1.51652,1.28335,0.0008548,0.0008548,0.0008548
24,666.433,0.56281,0.64689,1.02125,0.57053,0.56243,0.53565,0.44285,0.42032,0.98816,1.82891,1.45525,0.0008482,0.0008482,0.0008482
25,693.71,0.53466,0.61481,0.99755,0.57886,0.68911,0.67023,0.59347,0.56616,0.7562,1.45037,1.22798,0.0008416,0.0008416,0.0008416
26,721.084,0.52367,0.59806,1.0001,0.51777,0.61727,0.59904,0.50579,0.48809,0.88236,1.77439,1.36736,0.000835,0.000835,0.000835
27,748.476,0.53024,0.62646,0.99879,0.40273,0.61407,0.57422,0.50342,0.46867,0.88298,2.17886,1.33515,0.0008284,0.0008284,0.0008284
28,775.992,0.52688,0.60024,1.00194,0.47726,0.5926,0.62592,0.54601,0.52141,0.79684,1.50226,1.31484,0.0008218,0.0008218,0.0008218
29,803.385,0.5326,0.59665,1.00145,0.56764,0.58985,0.58036,0.48649,0.47493,0.83912,1.62162,1.37063,0.0008152,0.0008152,0.0008152
30,830.349,0.53817,0.5939,0.99548,0.43506,0.66541,0.58166,0.44466,0.44039,1.0427,1.66641,1.56058,0.0008086,0.0008086,0.0008086
31,857.437,0.57817,0.59741,1.01923,0.5146,0.57887,0.61522,0.45849,0.46062,0.95972,1.60089,1.45294,0.000802,0.000802,0.000802
32,884.92,0.50724,0.55597,0.99422,0.60617,0.60253,0.63601,0.58215,0.53676,0.78032,1.2807,1.2219,0.0007954,0.0007954,0.0007954
33,912.743,0.50369,0.52426,0.98344,0.56295,0.5319,0.58956,0.50043,0.4847,0.80955,1.63833,1.34039,0.0007888,0.0007888,0.0007888
34,941.427,0.5358,0.54868,0.99783,0.46756,0.64749,0.62125,0.50695,0.50126,0.87252,1.55345,1.45182,0.0007822,0.0007822,0.0007822
35,968.804,0.49969,0.548,0.98694,0.43011,0.60642,0.56802,0.47377,0.46353,0.81215,1.55288,1.34458,0.0007756,0.0007756,0.0007756
36,996.007,0.48994,0.53165,0.97831,0.42849,0.68654,0.54969,0.44258,0.44777,0.84633,1.85169,1.41793,0.000769,0.000769,0.000769
37,1023.18,0.50005,0.52615,0.97904,0.45518,0.54802,0.5723,0.46772,0.46101,0.91435,1.74557,1.43466,0.0007624,0.0007624,0.0007624
38,1050.63,0.511,0.5276,0.98414,0.53159,0.57865,0.56338,0.48166,0.48224,0.886,1.65663,1.44927,0.0007558,0.0007558,0.0007558
39,1078.29,0.50133,0.51325,0.97873,0.45076,0.73969,0.63866,0.51738,0.51334,0.82511,1.49659,1.3255,0.0007492,0.0007492,0.0007492
40,1105.7,0.48051,0.49012,0.96956,0.4204,0.67813,0.6172,0.51248,0.50481,0.8419,1.72953,1.37234,0.0007426,0.0007426,0.0007426
41,1132.87,0.49327,0.49664,0.97763,0.55304,0.49022,0.52208,0.42977,0.4255,0.74884,2.05588,1.21336,0.000736,0.000736,0.000736
42,1160.04,0.49553,0.51074,0.97986,0.49696,0.66721,0.6236,0.54957,0.48527,0.9776,1.41454,1.61871,0.0007294,0.0007294,0.0007294
43,1187.37,0.49527,0.49472,0.97763,0.45511,0.79081,0.66763,0.5548,0.54617,0.80442,1.62328,1.3692,0.0007228,0.0007228,0.0007228
44,1214.66,0.47426,0.47291,0.96643,0.48232,0.60204,0.60448,0.44455,0.47488,1.0249,1.79749,1.67936,0.0007162,0.0007162,0.0007162
45,1241.75,0.46944,0.48352,0.97002,0.52366,0.66358,0.62945,0.48893,0.49733,0.87172,1.40487,1.40563,0.0007096,0.0007096,0.0007096
46,1269.03,0.46028,0.46952,0.96075,0.64432,0.51187,0.61131,0.49053,0.48673,0.87914,1.36739,1.41714,0.000703,0.000703,0.000703
47,1296.04,0.47662,0.47543,0.96898,0.66023,0.58212,0.62803,0.53372,0.50395,1.03315,1.31626,1.67095,0.0006964,0.0006964,0.0006964
48,1323.1,0.48199,0.48367,0.97242,0.50362,0.63148,0.58392,0.46699,0.46172,0.88102,1.63951,1.38576,0.0006898,0.0006898,0.0006898
49,1350.08,0.4639,0.46199,0.96153,0.53877,0.49952,0.58498,0.45465,0.45532,1.00169,1.74986,1.50993,0.0006832,0.0006832,0.0006832
50,1377.16,0.45791,0.47923,0.95695,0.60651,0.55421,0.60572,0.49011,0.47969,0.84183,1.65549,1.38302,0.0006766,0.0006766,0.0006766
