epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1184,0.37753,0.35222,0.91054,0.97857,0.97739,0.99224,0.99224,0.97403,0.29158,0.20596,0.7433,0.000329317,0.000329317,0.000329317
2,69.2039,0.42431,0.41248,0.93113,0.96952,0.93942,0.98781,0.98781,0.95385,0.34616,0.28058,0.76562,0.000658277,0.000658277,0.000658277
3,101.079,0.46166,0.48962,0.94502,0.96692,0.93463,0.98417,0.98417,0.9335,0.39781,0.30215,0.7876,0.000982837,0.000982837,0.000982837
4,132.656,0.49275,0.49936,0.95577,0.93997,0.93652,0.96907,0.96657,0.92582,0.39546,0.35065,0.77489,0.0009802,0.0009802,0.0009802
5,164.311,0.50704,0.51888,0.96282,0.94628,0.95103,0.97769,0.9753,0.93564,0.42732,0.33564,0.78145,0.0009736,0.0009736,0.0009736
6,195.938,0.49481,0.51041,0.95658,0.93432,0.90964,0.97447,0.96789,0.90975,0.4486,0.38346,0.80781,0.000967,0.000967,0.000967
7,226.588,0.47178,0.48976,0.94754,0.98658,0.93408,0.98321,0.98015,0.93799,0.40805,0.2991,0.78671,0.0009604,0.0009604,0.0009604
8,255.335,0.51121,0.53473,0.97146,0.9565,0.89703,0.97722,0.9748,0.92328,0.44833,0.3964,0.80708,0.0009538,0.0009538,0.0009538
9,284.253,0.48423,0.50173,0.95739,0.95594,0.9324,0.9841,0.9841,0.95728,0.32547,0.32061,0.75917,0.0009472,0.0009472,0.0009472
10,314.325,0.48688,0.49719,0.9579,0.96555,0.91724,0.97885,0.97885,0.92531,0.40931,0.31122,0.78447,0.0009406,0.0009406,0.0009406
11,343.44,0.48736,0.49614,0.96037,0.97508,0.93652,0.98359,0.98359,0.92375,0.4195,0.29058,0.7947,0.000934,0.000934,0.000934
12,371.884,0.48982,0.51794,0.95786,0.93037,0.9199,0.97134,0.97134,0.92986,0.39707,0.35485,0.78827,0.0009274,0.0009274,0.0009274
13,402.725,0.47862,0.5029,0.95472,0.9419,0.93347,0.97866,0.97614,0.94624,0.31658,0.31068,0.75493,0.0009208,0.0009208,0.0009208
14,434.705,0.48661,0.48333,0.9569,0.96168,0.91821,0.97665,0.97665,0.93541,0.35298,0.31711,0.76109,0.0009142,0.0009142,0.0009142
15,468.23,0.47508,0.4956,0.95413,0.95635,0.94996,0.98724,0.98724,0.95415,0.33792,0.26697,0.76002,0.0009076,0.0009076,0.0009076
16,501.295,0.47775,0.49408,0.95243,0.94759,0.95069,0.97679,0.97679,0.94511,0.33783,0.28479,0.761,0.000901,0.000901,0.000901
17,534.869,0.48918,0.47934,0.96064,0.94108,0.95336,0.97828,0.97828,0.94374,0.32394,0.31069,0.75686,0.0008944,0.0008944,0.0008944
18,568.303,0.48675,0.49623,0.95559,0.9031,0.90267,0.97966,0.97416,0.93046,0.36796,0.46148,0.77414,0.0008878,0.0008878,0.0008878
19,601.558,0.4633,0.47589,0.94723,0.9445,0.90846,0.96898,0.96898,0.92858,0.3424,0.38487,0.76547,0.0008812,0.0008812,0.0008812
20,634.151,0.47472,0.47086,0.94838,0.95119,0.96709,0.99086,0.99086,0.92505,0.42686,0.25351,0.80335,0.0008746,0.0008746,0.0008746
21,666.722,0.46928,0.44418,0.94564,0.97885,0.93321,0.9886,0.9886,0.95817,0.32639,0.25528,0.76094,0.000868,0.000868,0.000868
22,699.299,0.47186,0.45935,0.95446,0.95876,0.90585,0.97816,0.97816,0.93604,0.34143,0.35932,0.76149,0.0008614,0.0008614,0.0008614
23,731.147,0.48117,0.47259,0.95578,0.94302,0.94628,0.98218,0.98218,0.94651,0.33527,0.28845,0.76339,0.0008548,0.0008548,0.0008548
24,763.119,0.47974,0.46398,0.94824,0.95477,0.93164,0.98306,0.98306,0.95139,0.33451,0.2904,0.75719,0.0008482,0.0008482,0.0008482
25,794.93,0.48185,0.45825,0.95284,0.9503,0.96139,0.98667,0.98667,0.95509,0.32619,0.25498,0.76231,0.0008416,0.0008416,0.0008416
26,826.807,0.45925,0.43439,0.94585,0.96141,0.9464,0.98674,0.98674,0.95057,0.32174,0.26629,0.75864,0.000835,0.000835,0.000835
