epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5844,1.11485,2.98056,1.44403,0.29444,0.79949,0.40518,0.3965,0.29881,1.08105,2.19295,1.29867,0.000329317,0.000329317,0.000329317
2,68.9005,0.89195,2.09128,1.17837,0.31706,0.83265,0.45992,0.42308,0.29356,1.48963,1.8642,1.7493,0.000658277,0.000658277,0.000658277
3,98.4298,0.83649,1.84558,1.1403,0.51481,0.70798,0.62795,0.60935,0.53733,0.60263,1.49015,0.90608,0.000982837,0.000982837,0.000982837
4,126.274,0.7977,1.66511,1.11126,0.48537,0.63871,0.61688,0.60775,0.52957,0.62752,1.57705,0.89826,0.0009802,0.0009802,0.0009802
5,153.67,0.81198,1.50904,1.12056,0.57034,0.77025,0.72275,0.71629,0.61632,0.59042,1.19993,0.91111,0.0009736,0.0009736,0.0009736
6,181.405,0.74781,1.36579,1.08141,0.69055,0.66963,0.77905,0.77544,0.70151,0.50741,1.03038,0.83618,0.000967,0.000967,0.000967
7,210.886,0.72918,1.20968,1.06633,0.8978,0.5636,0.80316,0.79125,0.70245,0.67116,1.33666,0.95151,0.0009604,0.0009604,0.0009604
8,240.089,0.74483,1.16788,1.08175,0.66511,0.74125,0.80235,0.80077,0.70459,0.64157,1.19698,0.93259,0.0009538,0.0009538,0.0009538
9,271.298,0.66743,1.06878,1.04043,0.80822,0.82919,0.92309,0.90937,0.73492,0.89304,0.80655,1.03344,0.0009472,0.0009472,0.0009472
10,304.008,0.70389,1.04913,1.05928,0.84766,0.75194,0.86191,0.85878,0.77818,0.52195,1.03282,0.85899,0.0009406,0.0009406,0.0009406
11,336.577,0.68115,1.00233,1.05695,0.80904,0.76737,0.88803,0.88538,0.81275,0.48376,0.81392,0.82259,0.000934,0.000934,0.000934
12,368.863,0.66769,0.96002,1.04023,0.8702,0.81968,0.92653,0.91112,0.83903,0.48111,0.65746,0.8424,0.0009274,0.0009274,0.0009274
13,398.946,0.62682,0.90725,1.01842,0.8694,0.84543,0.93457,0.93133,0.8644,0.45385,0.55765,0.80464,0.0009208,0.0009208,0.0009208
