subject_id,source,assigned_split,total_images,engaged,confused,bored,frustrated
P01,public,train,84,24,12,24,24
P02,public,train,94,22,24,24,24
P03,public,val,96,24,24,24,24
P04,public,test,95,24,23,24,24
P05,public,train,93,22,23,24,24
P06,public,train,89,20,21,24,24
P07,public,train,24,0,24,0,0
P08,public,train,96,24,24,24,24
P09,public,train,96,24,24,24,24
P10,public,train,91,22,22,23,24
P11,public,train,95,23,24,24,24
S01,private,train,389,156,74,85,74
S02,private,train,160,39,38,12,71
S03,private,val,33,11,8,11,3
S04,private,test,14,4,3,4,3
S05,private,test,12,4,3,3,2
S06,private,val,13,4,2,3,4
S07,private,val,8,3,1,2,2
S08,private,test,7,3,2,1,1
S09,private,test,28,6,8,7,7
S10,private,val,8,3,2,1,2
