subject_id,source,total,engaged,confused,bored,frustrated
P01,public,84,24,12,24,24
P02,public,94,22,24,24,24
P03,public,96,24,24,24,24
P04,public,95,24,23,24,24
P05,public,93,22,23,24,24
P06,public,89,20,21,24,24
P07,public,24,0,24,0,0
P08,public,96,24,24,24,24
P09,public,96,24,24,24,24
P10,public,91,22,22,23,24
P11,public,95,23,24,24,24
S01,private,389,156,74,85,74
S02,private,160,39,38,12,71
S03,private,33,11,8,11,3
S04,private,14,4,3,4,3
S05,private,12,4,3,3,2
S06,private,13,4,2,3,4
S07,private,8,3,1,2,2
S08,private,7,3,2,1,1
S09,private,28,6,8,7,7
S10,private,8,3,2,1,2
